headline,source,date,date_band,theme,label
World stock markets brace for turbulence after Trump’s latest tariff shock,guardian,2026-01-18,2024-2026,tariffs_trade,Neg
Honda’s quarterly profits are halved as Trump’s tariffs bite,guardian,2025-08-06,2024-2026,tariffs_trade,Neu
US sees embarrassing UN defeat over Iran arms embargo proposal,guardian,2020-08-14,2018-2021,sanctions,Neg
Iran could quit nuclear deal in 'hours' if new U.S. sanctions imposed: Rouhani,reuters,,unknown,sanctions,Neg
Starmer plays down prospect of retaliatory tariffs against US over Greenland,guardian,2026-01-19,2024-2026,tariffs_trade,Pos
U.S. could speed up North Korea sanctions in response to missile test - official,reuters,,unknown,sanctions,Neu
What do Trump’s tariffs mean for US-China trade?,guardian,2025-02-07,2024-2026,tariffs_trade,Neu
Australia’s $3bn Aukus bill to boost US and UK industry may go even higher,guardian,2023-03-21,2022-2023,industrial_policy,Pos
EU carmakers ‘days away’ from halting work as chip war with China escalates,guardian,2025-10-29,2024-2026,semiconductors,Neg
G7 backs Biden infrastructure plan to rival China’s belt and road initiative,guardian,2021-06-12,2018-2021,industrial_policy,Pos
"U.S. retailers, shoe companies urge Trump not to hit China with tariffs",reuters,,unknown,tariffs_trade,Neg
"U.S. tariffs, China trade tensions overshadow G20 finance meeting",reuters,,unknown,tariffs_trade,Neg
"U.S. sour crude sellers cut prices after China tariff, OPEC output increase - sources",reuters,,unknown,tariffs_trade,Neg
Taco Thursday: European and US stocks rise after Trump ‘chickens out’ over tariffs,guardian,2026-01-22,2024-2026,tariffs_trade,Pos
Wall Street hits record high on trade deal hopes; UK car exports to US halve due to tariffs – as it happened,guardian,2025-06-27,2024-2026,tariffs_trade,Pos
Russia urges India to line up behind China's Belt and Road initiative,reuters,,unknown,ukraine_russia,Neu
"US, UK, EU, Australia and more to meet to discuss critical minerals alliance",guardian,2026-02-01,2024-2026,critical_minerals,Neu
Trump says China will face 55% tariffs as he endorses trade deal,guardian,2025-06-11,2024-2026,tariffs_trade,Neg
China carmaker GAC says trade war could hurt plans to enter U.S. market,reuters,,unknown,tariffs_trade,Neg
Standard Chartered plays down fears of US-China trade war under Trump,guardian,2024-07-30,2024-2026,tariffs_trade,Pos
"Gold soars past $5,100 an ounce, silver hits new record on tariff and US shutdown fears – as it happened",guardian,2026-01-26,2024-2026,tariffs_trade,Neg
Europe's top court upholds EU sanctions against Russia's Rosneft,reuters,,unknown,sanctions,Neg
Could a Donald Trump-shaped torpedo sink Australia’s $368bn Aukus submarine plans?,guardian,2023-03-14,2022-2023,industrial_policy,Neu
Cyprus handed 800-page US dossier on Russia sanctions breaches,guardian,2023-05-09,2022-2023,sanctions,Neg
Markets slide further amid fears of escalating US-China trade war,guardian,2025-04-11,2024-2026,tariffs_trade,Neg
"Greenland: new shipping routes, hidden minerals – and a frontline between the US and Russia?",guardian,2026-01-15,2024-2026,ukraine_russia,Neg
Oil major Total to seek waiver if U.S. reimposes Iran sanctions: UAE newspaper,reuters,,unknown,sanctions,Neu
Modi ready to ‘pay a heavy price’ as India seeks to resist Trump tariffs,guardian,2025-08-07,2024-2026,tariffs_trade,Neg
US inflation jumps to 31-year high amid global supply chain crisis – as it happened,guardian,2021-11-10,2018-2021,supply_chain,Neg
UK factories return to growth after JLR restarts operations; US manufacturing exports hit by tariffs – as it happened,guardian,2025-11-03,2024-2026,tariffs_trade,Neg
Markets fall and gold and silver hit new highs after Trump’s latest tariff threat,guardian,2026-01-19,2024-2026,tariffs_trade,Neg
"Oil tops $75 on supply cuts, prospect of Iran sanctions",reuters,,unknown,sanctions,Neg
"EU, U.S. trade envoys meet on tariffs, outcome unclear",reuters,,unknown,tariffs_trade,Neu
Treasury warns of wide impact if U.S. sanctions Russian debt -Bloomberg,reuters,,unknown,sanctions,Neg
US imposes sanctions on leader of Wagner group in Mali,guardian,2023-05-25,2022-2023,sanctions,Neg
China needs friends in Trump’s trade war. But Xi may have to go it alone,guardian,2025-04-05,2024-2026,tariffs_trade,Neu
US and Venezuela set to agree deal on sanctions relief and open elections,guardian,2023-10-16,2022-2023,sanctions,Pos
The trade in sanctioned oil is booming as the US turns a blind eye,guardian,2023-09-25,2022-2023,sanctions,Neu
"Ukraine PM says US investment agreement ‘good, equal and beneficial’ – as it happened",guardian,2025-05-01,2024-2026,ukraine_russia,Pos
Trump declaration of Greenland framework deal met with scepticism amid tariff relief,guardian,2026-01-22,2024-2026,tariffs_trade,Neu
Trump trade deal shows how vital China’s rare-earth metals are to US defense firms,guardian,2025-06-11,2024-2026,tariffs_trade,Neu
Canada vows to 'respond appropriately' to any U.S. steel tariffs,reuters,,unknown,tariffs_trade,Neg
What Trump’s tariffs could mean for UK consumers,guardian,2025-04-03,2024-2026,tariffs_trade,Neu
EU hopes for quick deal to resolve US trade war after Trump delays 50% tariffs,guardian,2025-05-26,2024-2026,tariffs_trade,Pos
U.S. readying new North Korea sanctions if needed - Tillerson,reuters,,unknown,sanctions,Neg
Sunak to urge G7 support for collective action against ‘economic coercion’,guardian,2023-05-19,2022-2023,industrial_policy,Neu
Xi-Biden meeting overshadowed by conflicts in Ukraine and Israel – and US stance on Taiwan,guardian,2023-11-13,2022-2023,ukraine_russia,Neg
Japan minister: Some products likely to get exempted from U.S. tariffs,reuters,,unknown,tariffs_trade,Pos
WTO rules EU can apply tariffs on US goods as trade war deepens,guardian,2020-10-13,2018-2021,tariffs_trade,Neg
China retaliates against Trump in trade war with 34% tariffs on US imports,guardian,2025-04-04,2024-2026,tariffs_trade,Neg
UK accounting watchdog launches review on tougher sanctions,reuters,,unknown,sanctions,Neu
"U.S., Europe expose trade divisions as tariff clock ticks",reuters,,unknown,tariffs_trade,Neg
Russia's NLMK says finds out in June if exempt from U.S. tariffs,reuters,,unknown,tariffs_trade,Neu
IMF warns on risks to global economy amid tariff trade shock – as it happened,guardian,2025-07-29,2024-2026,tariffs_trade,Neg
Xi announces plan for Chinese economy to counter impact of US trade war,guardian,2025-04-25,2024-2026,tariffs_trade,Neu
Ukraine war briefing: Zelenskyy waves away first US bid for critical minerals,guardian,2025-02-17,2024-2026,ukraine_russia,Neg
Beijing threatens countermeasures against countries that ‘appease’ Washington in trade war,guardian,2025-04-21,2024-2026,tariffs_trade,Neg
Merkel tells Putin: implement Minsk to get EU sanctions lifted,reuters,,unknown,sanctions,Neu
US manufacturers hurt by Trump trade war; pound near three-year high against dollar – as it happened,guardian,2025-06-02,2024-2026,tariffs_trade,Neg
China trade body confirms challenge to U.S. aluminum foil tariffs,reuters,,unknown,tariffs_trade,Neg
Forty-five U.S. trade groups urge Trump to avoid tariffs against China,reuters,,unknown,tariffs_trade,Neg
Eurozone growth forecasts cut amid uncertainty over Trump trade war,guardian,2025-05-19,2024-2026,tariffs_trade,Neg
Ukraine war briefing: Frustrated Trump threatens Russia sanctions if there no progress on peace deal,guardian,2025-08-23,2024-2026,sanctions,Neg
Ukraine war briefing: Russia insists on sticking to its war demands amid Trump sanctions threat,guardian,2025-07-21,2024-2026,sanctions,Neg
Trump says China will face 55% tariffs under trade deal; US inflation rises to 2.4% – as it happened,guardian,2025-06-11,2024-2026,tariffs_trade,Neg
Canada's Freeland: Will 'respond appropriately' to any U.S. steel tariffs,reuters,,unknown,tariffs_trade,Neg
India’s Modi to meet Xi and Putin on first China trip in seven years as US tariffs bite,guardian,2025-08-29,2024-2026,tariffs_trade,Pos
"Oil steadies after Brent tops $75 on supply cuts, Iran sanctions threat",reuters,,unknown,sanctions,Neu
Oil price jumps and FTSE 100 hits new high after Trump puts sanctions on Russian firms,guardian,2025-10-23,2024-2026,sanctions,Pos
"Canada, Mexico and EU criticise Trump’s metal tariffs amid fears of trade war",guardian,2025-02-11,2024-2026,tariffs_trade,Neg
Trump’s dollar delusion: how trade war risks ending the US’s ‘exorbitant privilege’,guardian,2025-11-09,2024-2026,tariffs_trade,Neg
China to cut interest rates in response to trade war with US (X),guardian,2025-05-07,2024-2026,tariffs_trade,Neg
U.S. offers German car bosses 'zero tariffs' solution to trade row - Handelsblatt,reuters,,unknown,tariffs_trade,Pos
"As Trump focuses on his trade war, Brazil and China forge closer ties (X)",guardian,2025-05-23,2024-2026,tariffs_trade,Neg
China’s economy hit growth target last year despite Trump trade war and property crisis,guardian,2026-01-19,2024-2026,tariffs_trade,Pos
Mexico extends 15 pct steel tariff for non-free trade partner countries,reuters,,unknown,tariffs_trade,Neg
Iran seeks OPEC support against U.S. sanctions: letter,reuters,,unknown,sanctions,Neg
Dunford says U.S. military options only if sanctions fail: South Korea,reuters,,unknown,sanctions,Neu
Russia reportedly begins rare earth metals talks with US; Trump ‘very angry’ with Putin – as it happened,guardian,2025-03-31,2024-2026,ukraine_russia,Neg
Ukraine war briefing: Trump says ready for more Russia sanctions,guardian,2025-09-08,2024-2026,sanctions,Neg
"Fitch: Chinese Telcos' Capex Cuts Offset Tariff, Dividend Pressure (X)",reuters,,unknown,tariffs_trade,Neu
Oil traders expect Asia to import more Venezuelan crude if U.S. sanctions kick in (X),reuters,,unknown,sanctions,Neg
"Aukus will ‘get done’ despite jitters in Congress, Biden tells Albanese at White House meeting",guardian,2023-10-25,2022-2023,industrial_policy,Neu
"U.S. to slap tariffs on steel, aluminum from EU on Thursday: sources",reuters,,unknown,tariffs_trade,Neg
Gazprom expects no changes to key projects from new U.S. sanctions,reuters,,unknown,sanctions,Neu
Trump gives Russia ‘10 or 12’ days to move on Ukraine as ‘no progress made’ – as it happened,guardian,2025-07-28,2024-2026,ukraine_russia,Neg
US jobs market slows down as businesses cope with Trump trade war uncertainty,guardian,2025-06-06,2024-2026,tariffs_trade,Neg
"Berlin braced for U.S. steel, aluminum tariffs from June 1",reuters,,unknown,tariffs_trade,Neg
Head of EU executive secures tariffs delay after talk with Trump,guardian,2025-05-26,2024-2026,tariffs_trade,Pos
US shoppers feel the heat of Trump’s trade war: ‘the prices are going up’,guardian,2025-07-10,2024-2026,tariffs_trade,Neg
FTSE 100 falls short of record closing high; US-China trade talks ‘going well’ as meeting resumes – as it happened,guardian,2025-06-10,2024-2026,us_china,Pos
"US to impose tariffs of up to 3,521% on south-east Asia solar panels",guardian,2025-04-22,2024-2026,tariffs_trade,Neg
EU on course to renew Russia sanctions barring Le Pen election win,reuters,,unknown,sanctions,Neg
French Finance Minister warns Washington against metal tariffs,reuters,,unknown,tariffs_trade,Neg
‘Difficult and expensive’: US report raises Aukus doubts after Joe Biden reassures Anthony Albanese at White House,guardian,2023-10-27,2022-2023,industrial_policy,Neg
UK economy shrinks by 0.3% as firms hit by tax rises and Trump trade war,guardian,2025-06-12,2024-2026,tariffs_trade,Neg
Trump threatens 17% tariffs on food and farm produce exports from Europe,guardian,2025-07-04,2024-2026,tariffs_trade,Neg
US small businesses sound alarm over Trump’s tariffs amid crucial holiday season,guardian,2025-11-29,2024-2026,tariffs_trade,Neg
S.Korean stocks fall on trade war woes; won rises,reuters,,unknown,tariffs_trade,Neg
"Minister defends UK’s decision not to hit back at Trump tariffs threat, saying ‘aim is to de-escalate’ – as it happened",guardian,2026-01-19,2024-2026,tariffs_trade,Pos
"Trump tariff threats risk triggering ‘spiral of escalation’ in world economy, says IMF",guardian,2026-01-19,2024-2026,tariffs_trade,Neg
"US-EU trade war could cost Ireland more than €18bn, says report",guardian,2025-03-21,2024-2026,tariffs_trade,Neu
"Trump to seek tariff 'snap-back', tax equality in NAFTA revamp - letter",reuters,,unknown,tariffs_trade,Neu
Bessent urges Europe not to retaliate against Trump’s Greenland tariffs,guardian,2026-01-20,2024-2026,tariffs_trade,Neu
"Trump’s trade war could pose ‘substantial’ threat to UK economy, says Bank",guardian,2025-03-05,2024-2026,tariffs_trade,Neg
Caterpillar shares slide; Trump steel tariffs may boost costs,reuters,,unknown,tariffs_trade,Neg
Putin says anti-Russian sanctions harmful for U.S. and Europe,reuters,,unknown,sanctions,Neu
Markets rebound amid latest US-China tariff spat as traders look to possible ‘Taco trade’,guardian,2025-10-13,2024-2026,tariffs_trade,Pos
G20 financial leaders seek 'free trade' pledge amid U.S. tariffs concern,reuters,,unknown,tariffs_trade,Pos
China accuses Dutch of prolonging chip war that threatens to halt car factories,guardian,2025-11-04,2024-2026,semiconductors,Neg
"Trump walks back Greenland tariffs threat, citing vague ‘deal’ over territory",guardian,2026-01-22,2024-2026,tariffs_trade,Neg
Putin calls US supply of ATACMS weapons to Ukraine ‘another mistake’,guardian,2023-10-18,2022-2023,ukraine_russia,Neu
China says no tariffs on U.S. goods before U.S. tariffs on China goods,reuters,,unknown,tariffs_trade,Pos
"Iran eyes more funds for missiles, Guards after U.S. sanctions",reuters,,unknown,sanctions,Neg
China says will not fire first shot in trade war with U.S.,reuters,,unknown,tariffs_trade,Pos
G7 to discuss more sanctions against Syrian and Russian individuals - UK foreign minister,reuters,,unknown,sanctions,Neg
China's premier pledges further market opening as talk of trade war mounts,reuters,,unknown,tariffs_trade,Pos
"U.S. sanctions North Koreans it links to weapons, financial networks",reuters,,unknown,sanctions,Neg
Brazil minister backs tariff to curb U.S. ethanol imports,reuters,,unknown,tariffs_trade,Neg
Trump tariffs prompt slump in shipments to US ports,guardian,2025-04-28,2024-2026,tariffs_trade,Neg
‘We’re not going away’: Rishi Sunak arrives at G7 announcing Russia sanctions,guardian,2023-05-19,2022-2023,sanctions,Neg
Chinese tariffs on U.S. goods to take effect at start of July 6: source,reuters,,unknown,tariffs_trade,Neg
"Europe will respond if attacked by U.S. with tariffs, says French finance minister",reuters,,unknown,tariffs_trade,Neg
"China, South Korea discuss more sanctions on North Korea amid talk of Trump action",reuters,,unknown,sanctions,Neg
China offers concessions to avert trade war with U.S.: FT,reuters,,unknown,tariffs_trade,Pos
Donald Trump links Greenland threats to Nobel snub as EU trade war looms,guardian,2026-01-19,2024-2026,tariffs_trade,Neg
G7 prepares new Russia sanctions as Zelenskiy to attend summit in person,guardian,2023-05-19,2022-2023,sanctions,Neg
Bahrain's Alba seeks exemption from U.S. aluminum tariffs: CEO,reuters,,unknown,tariffs_trade,Neu
M&S chair reveals two major company hacks have ‘gone unreported’; Germany warns EU is ready to retaliate in US trade war – as it happened,guardian,2025-07-08,2024-2026,tariffs_trade,Neg
EU parliament blocks US trade deal after Trump’s tariff threat,guardian,2026-01-21,2024-2026,tariffs_trade,Neg
Reckitt Benckiser shares fall as investors prepare for Trump tariff impact,guardian,2025-04-23,2024-2026,tariffs_trade,Neg
"US adds 147,000 jobs in June, surpassing expectations amid Trump trade war",guardian,2025-07-03,2024-2026,tariffs_trade,Pos
EU considers retaliatory measures over Trump Greenland tariff ‘blackmail’,guardian,2026-01-19,2024-2026,tariffs_trade,Neg
Aukus pact: France to send ambassador back to US after Macron-Biden call,guardian,2021-09-22,2018-2021,industrial_policy,Neu
"Japan could be exempted from U.S. tariffs on steel, aluminium: Seko",reuters,,unknown,tariffs_trade,Pos
EU expands sanctions against North Korea as Trump meets Xi,reuters,,unknown,sanctions,Neg
"U.S. senators seek sanctions, other ways to address Venezuela crisis",reuters,,unknown,sanctions,Neg
ASX 200 sheds $40bn in value as Australian shares plunge amid US-China trade war,guardian,2025-04-09,2024-2026,tariffs_trade,Neg
Canada PM open to tougher Russia sanctions amid Syria crisis,reuters,,unknown,sanctions,Neg
US announces new Iran sanctions and claims it is enforcing UN arms embargo,guardian,2020-09-21,2018-2021,sanctions,Neg
China says Trump’s trade war ‘will end in failure’ as Beijing tariffs take effect,guardian,2025-04-10,2024-2026,tariffs_trade,Neg
Wall Street surges after US and China agree to slash tariffs in 90-day pause – as it happened,guardian,2025-05-12,2024-2026,tariffs_trade,Pos
"U.S. issues fresh Iran sanctions, targets Evin prison",reuters,,unknown,sanctions,Neg
"Donald Trump suggests tariffs on China should be 80%, as investors hope for thaw in trade war – as it happened",guardian,2025-05-09,2024-2026,tariffs_trade,Neg
